"중구","계","합계",73890,23898,9393,103,206,219,132,7,873,121791
"남구","계","합계",98180,35927,15121,371,145,370,238,35,997,177789
"동구","계","합계",41622,19797,7949,107,226,125,86,6,462,98213
"북구","계","합계",51341,19440,6913,89,95,101,112,15,694,104245
"울주군","계","합계",68408,23097,8072,301,233,201,110,9,629,108142
"세종특별자치시","계","합계",27374,39328,15528,236,232,278,76,10,311,114278
"세종시","계","합계",27374,39328,15528,236,232,278,76,10,311,114278
"경기도","계","합계",1267172,2729767,1065430,12674,18312,18106,8228,601,20398,6728350
"수원시","계","합계",124636,230782,108039,1339,1470,1987,798,37,2031,665637
"장안구","계","합계",31105,59552,28723,558,445,350,176,,596,167158
"권선구","계","합계",37065,64680,28544,342,423,777,189,31,683,201460
"팔달구","계","합계",24469,36771,16858,155,270,251,313,6,288,109674
"영통구","계","합계",31997,69779,33914,284,332,609,120,,464,187345
"성남시","계","합계",91622,217892,95683,1234,928,1393,796,82,1883,502051
"수정구","계","합계",24547,41709,13208,273,243,290,243,27,574,128798
"중원구","계","합계",25764,47554,15138,253,241,278,362,21,572,146242
"분당구","계","합계",41311,128629,67337,708,444,825,191,34,737,227011
"의정부시","계","합계",51350,86324,29185,270,577,390,306,25,892,241299
"안양시","계","합계",59559,141408,56135,667,617,878,269,20,1121,307197
"만안구","계","합계",26023,57647,19612,232,337,452,132,20,448,130448
"동안구","계","합계",33536,83761,36523,435,280,426,137,,673,176749
"부천시","계","합계",71362,186489,76687,628,698,1271,606,78,2007,467808
"원미구","계","합계",35983,93584,43364,412,368,711,278,43,918,246171
"소사구","계","합계",19290,50219,20804,146,192,297,148,35,666,119204
"오정구","계","합계",16089,42686,12519,70,138,263,180,,423,102433
"광명시","계","합계",29271,79799,27450,357,407,516,177,,815,188718
"평택시","계","합계",49586,88340,34566,391,633,973,312,19,624,253292
"동두천시","계","합계",12176,19619,5718,31,154,87,114,5,228,53885
"안산시","계","합계",59722,150357,43854,690,693,937,467,21,1353,414410
"상록구","계","합계",32691,86431,24948,342,395,509,348,14,766,219280
"단원구","계","합계",27031,63926,18906,348,298,428,119,7,587,195130
"고양시","계","합계",96861,247810,105094,1177,1002,1172,405,36,1370,504848
"덕양구","계","합계",45031,104422,40269,560,473,521,146,18,653,220770
"일산동구","계","합계",26813,70960,32053,289,281,262,145,1,266,137142
"일산서구","계","합계",25017,72428,32772,328,248,389,114,17,451,146936
"과천시","계","합계",6030,19171,9733,167,48,145,23,,78,28082
"구리시","계","합계",20014,40934,11372,163,196,248,194,6,267,102368
"남양주시","계","합계",71041,153735,45970,613,959,695,283,43,799,339668
"오산시","계","합계",23197,37880,14056,368,218,376,120,14,362,125266
"시흥시","계","합계",33242,81856,25447,259,510,555,293,17,398,239865
"군포시","계","합계",26968,66060,28239,391,589,409,205,,410,150426
"의왕시","계","합계",15478,39648,17325,195,294,244,86,6,256,77612
"하남시","계","합계",16287,38052,13737,67,248,121,108,,229,82043
"용인시","계","합계",95930,248833,109164,1214,1018,1786,358,80,1202,479987
"처인구","계","합계",28865,45008,17906,230,391,598,85,,412,124786
"기흥구","계","합계",38355,111785,43957,556,207,574,193,65,498,200337
"수지구","계","합계",28710,92040,47301,428,420,614,80,15,292,154864
"파주시","계","합계",44914,90459,29243,317,858,407,98,23,800,229953
"이천시","계","합계",26868,39113,14179,90,534,298,190,,311,117176
"안성시","계","합계",24518,30754,17059,159,324,384,79,3,352,107472
"김포시","계","합계",33298,81576,31220,351,740,519,173,,504,179934
"화성시","계","합계",56442,117155,51512,587,1473,978,204,58,859,332557
"광주시","계","합계",32879,69000,21324,333,446,430,182,6,436,167651
"양주시","계","합계",25049,40196,13071,286,381,106,101,3,283,113880
"포천시","계","합계",23234,24545,6730,111,579,182,276,,207,88574
"여주시","계","합계",15334,19287,6458,47,216,91,901,5,135,62257
"연천군","계","합계",6407,8098,2278,17,374,40,19,,34,24481
"가평군","계","합계",8133,11605,5568,11,144,108,10,,88,30969
"양평군","계","합계",15764,22990,9334,144,984,380,75,14,64,48984
"강원도","계","합계",242579,258660,98521,1448,3560,1315,1195,86,2009,865951
"춘천시","계","합계",33911,56726,24369,526,467,385,83,11,333,157201
"원주시","계","합계",45040,64845,25601,222,355,308,221,5,413,185504
"강릉시","계","합계",44525,28932,10325,102,708,91,73,3,207,125422
"동해시","계","합계",18080,12272,3893,9,358,62,355,4,162,52736
"태백시","계","합계",9383,6220,2035,10,95,37,75,,51,27650
"속초시","계","합계",13829,11331,4665,134,79,41,149,5,133,46904
"삼척시","계","합계",12635,7190,3173,4,313,27,58,17,155,44185
"홍천군","계","합계",10075,11820,4721,100,291,91,18,3,91,37791
"횡성군","계","합계",5822,7937,3621,14,172,47,25,5,68,23685
"영월군","계","합계",7456,6105,1681,24,94,21,31,,33,20597
"평창군","계","합계",7434,6863,2471,13,178,27,2,33,81,22309
"정선군","계","합계",5982,5814,2035,7,72,18,21,,41,21920
"철원군","계","합계",5188,9328,2765,100,140,30,6,,44,26367
"화천군","계","합계",3445,5399,1064,132,61,39,4,,47,13975
"양구군","계","합계",3569,4982,1131,1,45,26,1,,47,11665
"인제군","계","합계",5003,5001,1994,14,14,30,18,,14,17626
"고성군","계","합계",4772,4586,1564,15,54,8,42,,47,16568
"양양군","계","합계",6430,3309,1413,21,64,27,13,,42,13846
"충청북도","계","합계",250007,241747,112512,1007,1907,1801,1406,97,1404,917093
"충주시","계","합계",30982,32156,16089,187,174,255,124,6,132,123423
"제천시","계","합계",26302,21504,7966,50,214,170,38,4,113,76725
"청주시","계","합계",118333,131531,62317,528,744,889,814,15,857,492675
"상당구","계","합계",28022,28742,13005,145,218,185,152,,196,97508
"서원구","계","합계",31297,36252,16956,89,215,205,147,9,213,131426
"흥덕구","계","합계",35552,39609,18086,139,221,214,345,,247,152965
"청원구","계","합계",23462,26928,14270,155,90,285,170,6,201,110776
