"시점",정보통신방송기기,정보통신방송기기,정보통신방송기기,정보통신방송기기,정보통신방송기기,정보통신방송기기,정보통신방송서비스,정보통신방송서비스,정보통신방송서비스,정보통신방송서비스,소프트웨어,소프트웨어,소프트웨어,소프트웨어
"시점",소계,전자부품,컴퓨터 및 주변기기,통신 및 방송기기,영상 및 음향기기,정보통신응용기반기기,소계,통신서비스,방송서비스,정보서비스,소계,패키지소프트웨어,게임소프트웨어,IT서비스
"2015. 02",25695854,15420362,810682,4257890,980392,4226528,5684373,3099867,1309939,1274567,3416528,611794,698006,2106728
"2015. 03",27062771,15769926,1006236,4449150,1070546,4766913,5877058,3194013,1369463,1313582,3801921,659536,698007,2444378
"2015. 04",26839854,15520934,935891,4565064,1049726,4768239,5803558,3160972,1340359,1302227,3662063,752301,716989,2192773
"2015. 05",26467558,14989833,806613,5196458,1006100,4468554,5833223,3138828,1376683,1317712,3685346,742475,716989,2225882
"2015. 06",26489831,15299013,816970,4716795,1002678,4654375,5918775,3136148,1423481,1359146,3997170,751368,716989,2528813
"2015. 07",25962706,15135694,673049,4326637,1083428,4743898,5823972,3118058,1364784,1341130,3764968,760400,787656,2216912
"2015. 08",25481134,14825945,686804,4763976,1028854,4175555,5763326,3081826,1338117,1343383,3695326,711800,787656,2195870
"2015. 09",27163174,15040549,813578,5277240,1220661,4811146,5868475,3087397,1398837,1382241,3947613,700806,787657,2459150
"2015. 10",27641914,14778305,854383,6069388,1185739,4754099,5889674,3092016,1392856,1404802,4054803,662121,802728,2589954
"2015. 11",25563418,13597575,724791,5492197,1086683,4662172,5876233,3078558,1406365,1391310,4010647,688222,802728,2519697
"2015. 12",24820398,13340119,786213,4752146,1036826,4905094,6001686,3104384,1445778,1451524,5802585,1031350,802728,3968507
"2016. 01",24558492,14081928,746329,4277460,959770,4493005,5979153,3160748,1391617,1426788,3548326,571946,716842,2259538
"2016. 02",24405888,13995679,706091,4348214,929262,4426642,5943570,3137914,1383797,1421859,3497539,538433,716842,2242264
"2016. 03",26270823,14746093,808859,4703657,1041054,4971160,6107888,3193719,1469132,1445037,3790691,577675,716841,2496175
"2016. 04",24591925,14277623,710488,4379714,965214,4258886,6104790,3147940,1476035,1480815,3658117,563010,720667,2374440
"2016. 05",25400316,14918696,717449,4459392,1009669,4295110,6103770,3168669,1457341,1477760,3693631,564209,720669,2408753
"2016. 06",25335781,14653708,831976,4300789,964914,4584394,6042316,3175279,1368386,1498651,4092000,640781,720669,2730550
"2016. 07",25421207,14918070,766457,3994449,959786,4782445,6018062,3207946,1378634,1431482,3865246,588941,877495,2398810
"2016. 08",26335079,15797413,774740,4251942,963854,4547130,5980191,3190379,1346103,1443709,3848705,553794,877495,2417416
"2016. 09",26389422,15966304,814514,4044082,1013492,4551030,6068731,3163941,1418769,1486021,4092784,615710,877495,2599579
"2016. 10",27070499,15904437,934824,4515243,1023914,4692081,6098015,3178626,1392757,1526632,4502623,671015,1026562,2805046
"2016. 11",26511843,15135254,977850,4411432,926899,5060408,6148460,3165439,1459358,1523663,4446362,671625,1026562,2748175
"2016. 12",26724500,15329777,1101911,3993138,901890,5397784,6093644,3120046,1444302,1529296,6316520,1009275,1026562,4280683
"2017. 01",25475451,15816992,825638,3497954,822337,4512530,6187486,3156807,1476013,1554666,3836941,706110,868319,2262512
"2017. 02",25660800,15915125,943460,3484608,845919,4471688,6109161,3126751,1432920,1549490,3879134,699065,868319,2311750
"2017. 03",27536388,16975426,901248,3764215,860981,5034518,6189369,3173237,1442400,1573732,4054902,701132,868320,2485450
"2017. 04",27089821,16561483,913740,3975316,862647,4776635,6189223,3171096,1423252,1594875,3948997,723994,816504,2408499
"2017. 05",27016790,16914288,932405,3433694,852385,4884018,6224530,3183340,1432015,1609175,4058550,764980,816502,2477068
"2017. 06",27742039,17421664,885217,3381658,836480,5217020,6222084,3157135,1444779,1620170,4367203,733654,817452,2816097
"2017. 07",26237161,16300458,809801,3321305,830260,4975337,6161123,3154929,1422522,1583672,4284643,666982,960362,2657299
"2017. 08",28605265,18624475,844803,3666752,822296,4646939,6167860,3178003,1407381,1582476,4285624,646274,972563,2666787
"2017. 09",31556241,20905341,900034,3946655,827060,4977151,6319145,3211412,1474127,1633606,4651733,737229,959729,2954775
"2017. 10",33107805,22644503,1014351,4008115,772231,4668605,6309391,3144537,1499614,1665240,4765057,661101,1150331,2953625
"2017. 11",31145929,19950487,1133760,4155832,810555,5095295,6375434,3175486,1548779,1651169,5198970,687212,1157153,3354605
"2017. 12",31581485,20977796,1209830,3628443,797429,4967987,6427965,3188366,1566916,1672683,6693319,1124241,1180955,4388123
"2018. 01 p)",30517756,20016317,1001457,3655094,820783,5024105,6344876,3167994,1512626,1664256,4010237,633264,1051699,2325274
"2018. 02 p)",28174776,18177450,982560,3588843,810818,4615105,6299189,3114135,1533242,1651812,4109581,654816,1072255,2382510
"2018. 03 p)",30471565,19473709,1167813,3706820,819050,5304173,6377964,3177985,1527208,1672771,4284479,678833,1017051,2588595
"2018. 04 p)",30225497,19361117,990434,3624676,810909,5438361,6366813,3133047,1529182,1704584,4251109,668366,1060605,2522138
"2018. 05 p)",30168278,19099362,1094374,3892175,822569,5259798,6416344,3153857,1538782,1723705,4318494,730195,1041591,2546708
"2018. 06 p)",30510467,19268666,1141380,3854072,802013,5444336,6395888,3134325,1534855,1726708,4607554,811024,967278,2829252
"2018. 07 p)",30033377,19102224,942163,3827514,799879,5361597,6356858,3132503,1510039,1714316,4261586,758501,813522,2689563
"2018. 08 p)",30941549,20560350,1012120,3746113,655554,4967412,6263002,3107575,1446557,1708870,4281426,776356,871505,2633565
"2018. 09 p)",32027581,21773391,1073752,3609569,670769,4900100,6263515,3055329,1483044,1725142,4592549,820937,869383,2902229
"2018. 10 p)",33040498,21808696,1018283,3622179,679009,5912331,6316326,3048021,1517184,1751121,4857000,814222,1078614,2964164
"2018. 11 p)",30628229,19864999,793532,3365999,666813,5936886,6395315,3050200,1588232,1756883,5076690,852427,1040769,3183494
"2018. 12 p)",28808449,18813103,762123,3125491,666194,5441538,6427006,2988837,1637811,1800358,6877553,1251563,1216086,4409904
"2019. 01 p)",27296540,17341121,698894,3255313,666789,5334423,6210262,2972209,1541324,1696729,4186377,631758,1089231,2465388
"2019. 02 p)",24697200,15242005,691263,3343506,667442,4752984,6194668,2922642,1560330,1711696,4213196,631811,1096754,2484631
"2019. 03 p)",27305872,16796624,806913,3346210,681039,5675086,6306063,2981385,1593311,1731367,4382394,710737,1036601,2635056
"2019. 04 p)",27274248,16841409,759810,3422499,669820,5580710,6398397,2976642,1629885,1791870,4408551,694419,1064559,2649573
"2019. 05 p)",26077585,15628315,777029,3365398,669209,5637634,6419719,3011747,1619679,1788293,4436043,732078,1011908,2692057
"2019. 06 p)",26291927,16008462,739559,3347867,666460,5529579,6501790,2982458,1695960,1823372,4462154,743185,932652,2786317
"2019. 07 p)",26168070,16153558,717946,3344920,667995,5283651,6411816,3008955,1557101,1845760,4316862,748023,839131,2729708
"2019. 08 p)",26529711,16840856,754286,3336370,658006,4940193,6350677,3030450,1469924,1850303,4376153,778706,858653,2738794
"2019. 09 p)",27225119,17128802,912600,3389345,669229,5125143,6470758,3051297,1556813,1862648,4471117,811431,874391,2785295
"2019. 10 p)",27831405,17301980,1017530,3418522,668837,5424536,6514601,3058942,1518620,1937039,4465034,807806,858365,2798863
"2019. 11 p)",26950544,16430744,1001481,3376202,665489,5476628,6544093,3051585,1579472,1913036,4610038,838764,890060,2881214
